invoice_id,job_id,invoice_number,item,type,qty,unit_price_usd,amount_usd
invoice_fa3c5a8044464f07a09957b552b9468e,job_a3e3797f1a1a4eec91fac1123219d77e,5169,New Construction - Laundry Ventilation,material,1.0,366.0,366.0
invoice_53d66f3b8ce24b6ab51b00063f7ce82b,job_927e9588600b4424b0c40313daccf756,5168,Service Calls - Repairs & Part Installation - Tier 2 Repair - Coil clean in place,labor,2.0,94.0,188.0
invoice_35f3f3d2dc324e06b575041bcc3b9efb,job_f21c591534d54df39e8caf95483e400d,5167,Visit #4,labor,1.0,180.0,180.0
invoice_818c6790241744cd8985df5123c68c5a,job_bccf2574c2264111bbd9277a62f66c74,5166,Diagnostic/dispatch fees - Service & Repair Fee - After-Hours,labor,1.0,184.0,184.0
invoice_818c6790241744cd8985df5123c68c5a,job_bccf2574c2264111bbd9277a62f66c74,5166,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_4839c84420594852917d9c46878feb39,job_dd201efe6ae24b9281ca56b80162292e,5165,Electric - AO Kirby 50(48) Gallon Electric Water Heater (Low Boy),labor,1.0,2390.0,2390.0
invoice_54fbe49ecabb42a8b6e70ee7c775a0de,job_cfefbe9eab2e4bffae5991dcdc66c36c,5164,Diagnostic/dispatch fees - Service & Repair Fee - After-Hours,labor,1.0,184.0,184.0
invoice_54fbe49ecabb42a8b6e70ee7c775a0de,job_cfefbe9eab2e4bffae5991dcdc66c36c,5164,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_c0350676e2cb4a978309a3e3ca252d6d,job_6effe6907f3e43a89efb3f712912fb7c,5163,Diagnostic/dispatch fees - Service & Repair Fee - Standard,labor,1.0,92.0,92.0
invoice_c0350676e2cb4a978309a3e3ca252d6d,job_6effe6907f3e43a89efb3f712912fb7c,5163,Service Calls - Repairs & Part Installation - Tier 2 Repair - Leak Detection Tidewater Hospitality (Bubbles / Electronic),labor,1.0,96.0,96.0
invoice_c0350676e2cb4a978309a3e3ca252d6d,job_6effe6907f3e43a89efb3f712912fb7c,5163,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_c0350676e2cb4a978309a3e3ca252d6d,job_6effe6907f3e43a89efb3f712912fb7c,5163,MISC Labor - Tech tightened schrader core,labor,1.0,133.0,133.0
invoice_c0350676e2cb4a978309a3e3ca252d6d,job_6effe6907f3e43a89efb3f712912fb7c,5163,Generic Parts / Service - R410a refrigerant,material,2.0,132.0,264.0
invoice_6ee673da6ae141138143faea950e1223,job_6d60731e82ec4eb69cf2f401fb08b129,5162,Diagnostic/dispatch fees - Starfish Hospitality Service & Repair Fee - After Hours,labor,1.0,129.0,129.0
invoice_6ee673da6ae141138143faea950e1223,job_6d60731e82ec4eb69cf2f401fb08b129,5162,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line (FREE),labor,1.0,0.0,0.0
invoice_6ee673da6ae141138143faea950e1223,job_6d60731e82ec4eb69cf2f401fb08b129,5162,Service Calls - Repairs & Part Installation - Tier 2 Repair - Coil clean in place,labor,1.0,94.0,94.0
invoice_69140aae26d340e39f6062e4ffa994c4,job_025b60354457443ab5185cf26c2a3488,5161,Rescue Motor,labor,1.0,731.0,731.0
invoice_69140aae26d340e39f6062e4ffa994c4,job_025b60354457443ab5185cf26c2a3488,5161,Service & Repair Fee - After-Hours,labor,1.0,167.0,167.0
invoice_fc9e6e7e4a9a49db9f6955b3e8760a22,job_f879f8385f0b44df965005571e192872,5160,Diagnostic/dispatch fees - Service & Repair Fee - After-Hours,labor,1.0,184.0,184.0
invoice_fc9e6e7e4a9a49db9f6955b3e8760a22,job_f879f8385f0b44df965005571e192872,5160,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_f8d73177cd754099a922522eeb7c5a55,job_2b919b4cec7146ec834ab183a06ccab9,5159,Diagnostic/dispatch fees - Service & Repair Fee - After-Hours,labor,1.0,184.0,184.0
invoice_f8d73177cd754099a922522eeb7c5a55,job_2b919b4cec7146ec834ab183a06ccab9,5159,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_4f2262d07365423e9e9d1708ef0b52f9,job_a0eda9a8dc504f0e93d1c273d5e9922f,5158,Service & Repair Fee - After-Hours,labor,1.0,167.0,167.0
invoice_4f2262d07365423e9e9d1708ef0b52f9,job_a0eda9a8dc504f0e93d1c273d5e9922f,5158,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
invoice_12432f8412b94bde822d196d8f6358ea,job_e7bbe258b0af4eeaa4c2a85a22fd2778,5157,Diagnostic/dispatch fees - Service & Repair Fee - After-Hours,labor,1.0,184.0,184.0
invoice_12432f8412b94bde822d196d8f6358ea,job_e7bbe258b0af4eeaa4c2a85a22fd2778,5157,Service Calls - Repairs & Part Installation - Tier 3 Repair - Clear Drain Line,labor,1.0,165.0,165.0
